resource,name,slug
spells,bless the dead,deepm_bless-the-dead
spells,blessed halo,deepm_blessed-halo
spells,blizzard,deepm_blizzard
spells,blood and steel,deepm_blood-and-steel
spells,blood armor,deepm_blood-armor
spells,blood lure,deepm_blood-lure
spells,blood offering,deepm_blood-offering
spells,blood puppet,deepm_blood-puppet
spells,blood scarab,deepm_blood-scarab
spells,blood spoor,deepm_blood-spoor
spells,blood tide,deepm_blood-tide
spells,blood to acid,deepm_blood-to-acid
spells,bloodhound,deepm_bloodhound
spells,bloodshot,deepm_bloodshot
spells,bloody hands,deepm_bloody-hands
spells,bloody smite,deepm_bloody-smite
spells,bloom,deepm_bloom
spells,boiling blood,deepm_boiling-blood
spells,boiling oil,deepm_boiling-oil
spells,bolster undead,deepm_bolster-undead
spells,booster shot,deepm_booster-shot
spells,boreas’s breath,deepm_boreass-breath
spells,bottled arcana,deepm_bottled-arcana
spells,bottomless stomach,deepm_bottomless-stomach
spells,breathtaking wind,deepm_breathtaking-wind
spells,breeze compass,deepm_breeze-compass
spells,brimstone infusion,deepm_brimstone-infusion
spells,brittling,deepm_brittling
spells,broken charge,deepm_broken-charge
spells,by the light of the moon,deepm_by-the-light-of-the-moon
spells,by the light of the watchful moon,deepm_by-the-light-of-the-watchful-moon
spells,call shadow mastiff,deepm_call-shadow-mastiff
spells,calm of the storm,deepm_calm-of-the-storm
spells,candle’s insight,deepm_candles-insight
spells,carmello-volta’s irksome preserves,deepm_carmello-voltas-irksome-preserves
spells,catapult,deepm_catapult
spells,catch the breath,deepm_catch-the-breath
spells,caustic blood,deepm_caustic-blood
spells,caustic torrent,deepm_caustic-torrent
spells,caustic touch,deepm_caustic-touch
spells,celebration,deepm_celebration
spells,chains of the goddess,deepm_chains-of-the-goddess
spells,chains of torment,deepm_chains-of-torment
spells,champion’s weapon,deepm_champions-weapon
spells,chaotic form,deepm_chaotic-form
spells,chaotic vitality,deepm_chaotic-vitality
spells,chaotic world,deepm_chaotic-world
spells,chilling words,deepm_chilling-words
spells,chronal lance,deepm_chronal-lance
spells,circle of wind,deepm_circle-of-wind
spells,clash of glaciers,deepm_clash-of-glaciers
spells,claws of darkness,deepm_claws-of-darkness
spells,claws of the earth dragon,deepm_claws-of-the-earth-dragon
spells,clearing the field,deepm_clearing-the-field
spells,cloak of shadow,deepm_cloak-of-shadow
spells,clockwork bolt,deepm_clockwork-bolt
spells,closing in,deepm_closing-in
spells,cobra fangs,deepm_cobra-fangs
spells,compelled movement,deepm_compelled-movement
spells,compelling fate,deepm_compelling-fate
spells,comprehend wild shape,deepm_comprehend-wild-shape
spells,confound senses,deepm_confound-senses
spells,conjure fey hound,deepm_conjure-fey-hound
spells,conjure forest defender,deepm_conjure-forest-defender
spells,conjure greater spectral dead,deepm_conjure-greater-spectral-dead
spells,conjure minor voidborn,deepm_conjure-minor-voidborn
spells,conjure scarab swarm,deepm_conjure-scarab-swarm
spells,conjure shadow titan,deepm_conjure-shadow-titan
spells,conjure spectral dead,deepm_conjure-spectral-dead
spells,conjure undead,deepm_conjure-undead
spells,conjure voidborn,deepm_conjure-voidborn
spells,consult the storm,deepm_consult-the-storm
spells,converse with dragon,deepm_converse-with-dragon
spells,costly victory,deepm_costly-victory
spells,create ring servant,deepm_create-ring-servant
spells,create thunderstaff,deepm_create-thunderstaff
spells,creeping ice,deepm_creeping-ice
spells,crushing curse,deepm_crushing-curse
spells,crushing trample,deepm_crushing-trample
spells,cure beast,deepm_cure-beast
spells,curse of boreas,deepm_curse-of-boreas
spells,curse of dust,deepm_curse-of-dust
spells,curse of incompetence,deepm_curse-of-incompetence
spells,curse of the grave,deepm_curse-of-the-grave
spells,curse of yig,deepm_curse-of-yig
spells,curse ring,deepm_curse-ring
spells,cursed gift,deepm_cursed-gift
spells,cynophobia,deepm_cynophobia
spells,daggerhawk,deepm_daggerhawk
spells,dark dementing,deepm_dark-dementing
spells,dark heraldry,deepm_dark-heraldry
spells,dark maw,deepm_dark-maw
spells,dark path,deepm_dark-path
spells,darkbolt,deepm_darkbolt
spells,dead walking,deepm_dead-walking
spells,deadly sting,deepm_deadly-sting
spells,death god’s touch,deepm_death-gods-touch
spells,decay,deepm_decay
spells,decelerate,deepm_decelerate
spells,deep breath,deepm_deep-breath
spells,defile healing,deepm_defile-healing
spells,delay potion,deepm_delay-potion
spells,delayed healing,deepm_delayed-healing
spells,demon within,deepm_demon-within
spells,desiccating breath,deepm_desiccating-breath
spells,desolation,deepm_desolation
spells,destructive resonance,deepm_destructive-resonance
spells,detect dragons,deepm_detect-dragons
spells,deva’s wings,deepm_devas-wings
spells,dimensional shove,deepm_dimensional-shove
spells,disquieting gaze,deepm_disquieting-gaze
spells,disruptive aura,deepm_disruptive-aura
spells,distracting divination,deepm_distracting-divination
spells,distraction cascade,deepm_distraction-cascade
spells,doom of blue crystal,deepm_doom-of-blue-crystal
spells,doom of consuming fire,deepm_doom-of-consuming-fire
spells,doom of dancing blades,deepm_doom-of-dancing-blades
spells,doom of disenchantment,deepm_doom-of-disenchantment
spells,doom of serpent coils,deepm_doom-of-serpent-coils
spells,doom of the cracked shield,deepm_doom-of-the-cracked-shield
spells,doom of the earthen maw,deepm_doom-of-the-earthen-maw
spells,doom of the slippery rogue,deepm_doom-of-the-slippery-rogue
spells,douse light,deepm_douse-light
spells,draconic smite,deepm_draconic-smite
spells,dragon breath,deepm_dragon-breath
spells,dragon roar,deepm_dragon-roar
spells,drown,deepm_drown
spells,dryad’s kiss,deepm_dryads-kiss
spells,earthskimmer,deepm_earthskimmer
spells,earworm melody,deepm_earworm-melody
spells,echoes of steel,deepm_echoes-of-steel
spells,ectoplasm,deepm_ectoplasm
spells,eidetic memory,deepm_eidetic-memory
spells,eldritch communion,deepm_eldritch-communion
spells,elemental horns,deepm_elemental-horns
spells,elemental twist,deepm_elemental-twist
spells,emanation of yoth,deepm_emanation-of-yoth
spells,enchant ring,deepm_enchant-ring
spells,encroaching shadows,deepm_encroaching-shadows
spells,encrypt / decrypt,deepm_encrypt-decrypt
spells,endow attribute,deepm_endow-attribute
spells,energy absorption,deepm_energy-absorption
spells,energy foreknowledge,deepm_energy-foreknowledge
spells,enhance greed,deepm_enhance-greed
spells,entomb,deepm_entomb
spells,entropic damage field,deepm_entropic-damage-field
spells,essence instability,deepm_essence-instability
spells,evercold,deepm_evercold
spells,exsanguinate,deepm_exsanguinate
spells,exsanguinating cloud,deepm_exsanguinating-cloud
spells,extract knowledge,deepm_extract-knowledge
spells,fault line,deepm_fault-line
spells,feather field,deepm_feather-field
spells,feather travel,deepm_feather-travel
spells,fey crown,deepm_fey-crown
spells,find kin,deepm_find-kin
spells,fire darts,deepm_fire-darts
spells,fire under the tongue,deepm_fire-under-the-tongue
spells,firewalk,deepm_firewalk
spells,fist of iron,deepm_fist-of-iron
spells,flame wave,deepm_flame-wave
spells,flesh to paper,deepm_flesh-to-paper
spells,flickering fate,deepm_flickering-fate
spells,fluctuating alignment,deepm_fluctuating-alignment
spells,flurry,deepm_flurry
spells,forest native,deepm_forest-native
spells,forest sanctuary,deepm_forest-sanctuary
spells,foretell distraction,deepm_foretell-distraction
spells,form of the gods,deepm_form-of-the-gods
spells,freeze blood,deepm_freeze-blood
spells,freeze potion,deepm_freeze-potion
spells,freezing fog,deepm_freezing-fog
spells,frenzied bolt,deepm_frenzied-bolt
spells,frostbite,deepm_frostbite
spells,frostbitten fingers,deepm_frostbitten-fingers
spells,frozen razors,deepm_frozen-razors
spells,furious hooves,deepm_furious-hooves
spells,fusillade of ice,deepm_fusillade-of-ice
spells,gear barrage,deepm_gear-barrage
spells,ghoul king’s cloak,deepm_ghoul-kings-cloak
spells,gird the spirit,deepm_gird-the-spirit
spells,glacial cascade,deepm_glacial-cascade
spells,glacial fog,deepm_glacial-fog
spells,gliding step,deepm_gliding-step
spells,glimpse of the void,deepm_glimpse-of-the-void
spells,gloomwrought barrier,deepm_gloomwrought-barrier
spells,gluey globule,deepm_gluey-globule
spells,glyph of shifting,deepm_glyph-of-shifting
spells,goat's hoof charm,deepm_goats-hoof-charm
spells,going in circles,deepm_going-in-circles
spells,gordolay’s pleasant aroma,deepm_gordolays-pleasant-aroma
spells,grasp of the tupilak,deepm_grasp-of-the-tupilak
spells,greater maze,deepm_greater-maze
spells,greater seal of sanctuary,deepm_greater-seal-of-sanctuary
spells,green decay,deepm_green-decay
spells,grudge match,deepm_grudge-match
spells,guest of honor,deepm_guest-of-honor
spells,guiding star,deepm_guiding-star
spells,hamstring,deepm_hamstring
spells,hard heart,deepm_hard-heart
spells,harry,deepm_harry
spells,harrying hounds,deepm_harrying-hounds
spells,harsh light of summer’s glare,deepm_harsh-light-of-summers-glare
spells,heart-seeking arrow,deepm_heart-seeking-arrow
spells,heart to heart,deepm_heart-to-heart
spells,heartache,deepm_heartache
spells,heartstop,deepm_heartstop
spells,heartstrike,deepm_heartstrike
spells,heavenly crown,deepm_heavenly-crown
spells,hedren’s birds of clay,deepm_hedrens-birds-of-clay
spells,hematomancy,deepm_hematomancy
spells,hero's steel,deepm_heros-steel
spells,hide in one’s shadow,deepm_hide-in-ones-shadow
spells,hoarfrost,deepm_hoarfrost
spells,hobble,deepm_hobble
spells,hobble mount,deepm_hobble-mount
spells,holy ground,deepm_holy-ground
spells,hone blade,deepm_hone-blade
spells,hunger of leng,deepm_hunger-of-leng
spells,hunter's endurance,deepm_hunters-endurance
spells,hunting stand,deepm_hunting-stand
spells,ice fortress,deepm_ice-fortress
spells,ice hammer,deepm_ice-hammer
spells,ice soldiers,deepm_ice-soldiers
spells,icicle daggers,deepm_icicle-daggers
spells,icy grasp of the void,deepm_icy-grasp-of-the-void
spells,icy manipulation,deepm_icy-manipulation
spells,ill-fated word,deepm_ill-fated-word
spells,illuminate spoor,deepm_illuminate-spoor
spells,impending ally,deepm_impending-ally
spells,innocuous aspect,deepm_innocuous-aspect
spells,insightful maneuver,deepm_insightful-maneuver
spells,inspiring speech,deepm_inspiring-speech
spells,instant fortification,deepm_instant-fortification
spells,instant siege weapon,deepm_instant-siege-weapon
spells,instant snare,deepm_instant-snare
spells,ire of the mountain,deepm_ire-of-the-mountain
spells,iron hand,deepm_iron-hand
spells,kareef’s entreaty,deepm_kareefs-entreaty
spells,keening wail,deepm_keening-wail
spells,killing fields,deepm_killing-fields
spells,kiss of the succubus,deepm_kiss-of-the-succubus
spells,kobold’s fury,deepm_kobolds-fury
spells,labyrinth mastery,deepm_labyrinth-mastery
spells,labyrinthine howl,deepm_labyrinthine-howl
spells,lacerate,deepm_lacerate
spells,lair sense,deepm_lair-sense
spells,last rays of the dying sun,deepm_last-rays-of-the-dying-sun
spells,lava stone,deepm_lava-stone
spells,lay to rest,deepm_lay-to-rest
spells,legend killer,deepm_legend-killer
spells,legion,deepm_legion
spells,legion of rabid squirrels,deepm_legion-of-rabid-squirrels
spells,lesser maze,deepm_lesser-maze
spells,life drain,deepm_life-drain
spells,life from death,deepm_life-from-death
spells,life hack,deepm_life-hack
spells,life sense,deepm_life-sense
spells,life transference arrow,deepm_life-transference-arrow
spells,litany of sure hands,deepm_litany-of-sure-hands
spells,living shadows,deepm_living-shadows
spells,lock armor,deepm_lock-armor
spells,looping trail,deepm_looping-trail
spells,lovesick,deepm_lovesick
spells,maddening whispers,deepm_maddening-whispers
spells,maim,deepm_maim
spells,malevolent waves,deepm_malevolent-waves
spells,mammon’s due,deepm_mammons-due
spells,mark prey,deepm_mark-prey
spells,mass hobble mount,deepm_mass-hobble-mount
spells,mass surge dampener,deepm_mass-surge-dampener
spells,maw of needles,deepm_maw-of-needles
spells,memento mori,deepm_memento-mori
spells,mephitic croak,deepm_mephitic-croak
spells,mind exchange,deepm_mind-exchange
spells,mire,deepm_mire
spells,misstep,deepm_misstep
spells,mist of wonders,deepm_mist-of-wonders
spells,monstrous empathy,deepm_monstrous-empathy
spells,moon trap,deepm_moon-trap
spells,mosquito bane,deepm_mosquito-bane
spells,mud pack,deepm_mud-pack
spells,negative image,deepm_negative-image
spells,nether weapon,deepm_nether-weapon
spells,night terrors,deepm_night-terrors
spells,nightfall,deepm_nightfall
spells,nip at the heels,deepm_nip-at-the-heels
spells,not dead yet,deepm_not-dead-yet
spells,not this day!,deepm_not-this-day
spells,orb of light,deepm_orb-of-light
spells,outflanking boon,deepm_outflanking-boon
spells,paragon of chaos,deepm_paragon-of-chaos
spells,pendulum,deepm_pendulum
spells,phantom dragon,deepm_phantom-dragon
spells,pitfall,deepm_pitfall
spells,poisoned volley,deepm_poisoned-volley
spells,potency of the pack,deepm_potency-of-the-pack
spells,power word kneel,deepm_power-word-kneel
spells,power word pain,deepm_power-word-pain
spells,primal infusion,deepm_primal-infusion
spells,prismatic ray,deepm_prismatic-ray
spells,protection from the void,deepm_protection-from-the-void
spells,protective ice,deepm_protective-ice
spells,puff of smoke,deepm_puff-of-smoke
spells,pummelstone,deepm_pummelstone
spells,pyroclasm,deepm_pyroclasm
spells,quick time,deepm_quick-time
spells,quicken,deepm_quicken
spells,quicksilver mantle,deepm_quicksilver-mantle
spells,quintessence,deepm_quintessence
spells,raid the lair,deepm_raid-the-lair
spells,rain of blades,deepm_rain-of-blades
spells,ray of alchemical negation,deepm_ray-of-alchemical-negation
spells,ray of life suppression,deepm_ray-of-life-suppression
spells,reaver spirit,deepm_reaver-spirit
spells,reposition,deepm_reposition
spells,reset,deepm_reset
spells,reverberate,deepm_reverberate
spells,revive beast,deepm_revive-beast
spells,right the stars,deepm_right-the-stars
spells,ring strike,deepm_ring-strike
spells,ring ward,deepm_ring-ward
spells,riptide,deepm_riptide
spells,rolling thunder,deepm_rolling-thunder
spells,rotting corpse,deepm_rotting-corpse
spells,rune of imprisonment,deepm_rune-of-imprisonment
spells,salt lash,deepm_salt-lash
spells,sand ship,deepm_sand-ship
spells,sanguine horror,deepm_sanguine-horror
spells,scale rot,deepm_scale-rot
spells,scentless,deepm_scentless
spells,screaming ray,deepm_screaming-ray
spells,scribe,deepm_scribe
spells,scry ambush,deepm_scry-ambush
spells,sculpt snow,deepm_sculpt-snow
spells,seal of sanctuary,deepm_seal-of-sanctuary
spells,searing sun,deepm_searing-sun
spells,see beyond,deepm_see-beyond
spells,seed of destruction,deepm_seed-of-destruction
spells,seeping death,deepm_seeping-death
spells,seer’s reaction,deepm_seers-reaction
spells,semblance of dread,deepm_semblance-of-dread
spells,shade,deepm_shade
spells,shadow armor,deepm_shadow-armor
spells,shadow bite,deepm_shadow-bite
spells,shadow blindness,deepm_shadow-blindness
spells,shadow hands,deepm_shadow-hands
spells,shadow monsters,deepm_shadow-monsters
spells,shadow puppets,deepm_shadow-puppets
spells,shadow trove,deepm_shadow-trove
spells,shadows brought to light,deepm_shadows-brought-to-light
spells,shadowy retribution,deepm_shadowy-retribution
spells,shared sacrifice,deepm_shared-sacrifice
spells,sheen of ice,deepm_sheen-of-ice
spells,shifting the odds,deepm_shifting-the-odds
spells,shiver,deepm_shiver
spells,shroud of death,deepm_shroud-of-death
spells,sidestep arrow,deepm_sidestep-arrow
spells,sign of koth,deepm_sign-of-koth
spells,silhouette,deepm_silhouette
spells,sir mittinz’s move curse,deepm_sir-mittinzs-move-curse
spells,sleep of the deep,deepm_sleep-of-the-deep
spells,slippery fingers,deepm_slippery-fingers
spells,slither,deepm_slither
spells,snow boulder,deepm_snow-boulder
spells,snow fort,deepm_snow-fort
spells,snowy coat,deepm_snowy-coat
spells,song of the forest,deepm_song-of-the-forest
spells,speak with inanimate object,deepm_speak-with-inanimate-object
spells,spin,deepm_spin
spells,spinning axes,deepm_spinning-axes
spells,spiteful weapon,deepm_spiteful-weapon
spells,spur mount,deepm_spur-mount
spells,staff of violet fire,deepm_staff-of-violet-fire
spells,stanch,deepm_stanch
spells,starburst,deepm_starburst
spells,starfall,deepm_starfall
spells,starry vision,deepm_starry-vision
spells,star's heart,deepm_stars-heart
spells,steal warmth,deepm_steal-warmth
spells,steam blast,deepm_steam-blast
spells,steam whistle,deepm_steam-whistle
spells,stench of rot,deepm_stench-of-rot
spells,storm of wings,deepm_storm-of-wings
spells,sudden dawn,deepm_sudden-dawn
spells,summon eldritch servitor,deepm_summon-eldritch-servitor
spells,summon star,deepm_summon-star
spells,surge dampener,deepm_surge-dampener
spells,surprise blessing,deepm_surprise-blessing
spells,symbol of sorcery,deepm_symbol-of-sorcery
spells,talons of a hungry land,deepm_talons-of-a-hungry-land
spells,targeting foreknowledge,deepm_targeting-foreknowledge
spells,thin the ice,deepm_thin-the-ice
spells,thousand darts,deepm_thousand-darts
spells,throes of ecstasy,deepm_throes-of-ecstasy
spells,thunder bolt,deepm_thunder-bolt
spells,thunderclap,deepm_thunderclap
spells,thunderous charge,deepm_thunderous-charge
spells,thunderous stampede,deepm_thunderous-stampede
spells,thunderous wave,deepm_thunderous-wave
spells,thunderstorm,deepm_thunderstorm
spells,tidal barrier,deepm_tidal-barrier
spells,time in a bottle,deepm_time-in-a-bottle
spells,time jump,deepm_time-jump
spells,time loop,deepm_time-loop
spells,time slippage,deepm_time-slippage
spells,time step,deepm_time-step
spells,time vortex,deepm_time-vortex
spells,timely distraction,deepm_timely-distraction
spells,tireless,deepm_tireless
spells,tongue of sand,deepm_tongue-of-sand
spells,tongue tied,deepm_tongue-tied
spells,torrent of fire,deepm_torrent-of-fire
spells,touch of the unliving,deepm_touch-of-the-unliving
spells,tracer,deepm_tracer
spells,treasure chasm,deepm_treasure-chasm
spells,tree heal,deepm_tree-heal
spells,tree running,deepm_tree-running
spells,tree speak,deepm_tree-speak
spells,trench,deepm_trench
spells,trick question,deepm_trick-question
spells,triumph of ice,deepm_triumph-of-ice
spells,twist the skein,deepm_twist-the-skein
spells,umbral storm,deepm_umbral-storm
spells,uncontrollable transformation,deepm_uncontrollable-transformation
spells,undermine armor,deepm_undermine-armor
spells,unholy defiance,deepm_unholy-defiance
spells,unleash effigy,deepm_unleash-effigy
spells,unluck on that,deepm_unluck-on-that
spells,unseen strangler,deepm_unseen-strangler
spells,vine trestle,deepm_vine-trestle
spells,visage of madness,deepm_visage-of-madness
spells,vital mark,deepm_vital-mark
spells,void rift,deepm_void-rift
spells,void strike,deepm_void-strike
spells,volley shield,deepm_volley-shield
spells,vomit tentacles,deepm_vomit-tentacles
spells,voorish sign,deepm_voorish-sign
spells,waft,deepm_waft
spells,walk the twisted path,deepm_walk-the-twisted-path
spells,walking wall,deepm_walking-wall
spells,wall of time,deepm_wall-of-time
spells,warning shout,deepm_warning-shout
spells,warp mind and matter,deepm_warp-mind-and-matter
spells,weapon of blood,deepm_weapon-of-blood
spells,weiler’s ward,deepm_weilers-ward
spells,wild shield,deepm_wild-shield
spells,wind lash,deepm_wind-lash
spells,wind of the hereafter,deepm_wind-of-the-hereafter
spells,wind tunnel,deepm_wind-tunnel
spells,winterdark,deepm_winterdark
spells,winter's radiance,deepm_winters-radiance
spells,wintry glide,deepm_wintry-glide
spells,withered sight,deepm_withered-sight
spells,wolfsong,deepm_wolfsong
spells,word of misfortune,deepm_word-of-misfortune
spells,wresting wind,deepm_wresting-wind
spells,writhing arms,deepm_writhing-arms
spells,yellow sign,deepm_yellow-sign
spells,absolute command,deepmx_absolute-command
spells,amplify ley field,deepmx_amplify-ley-field
spells,animate construct,deepmx_animate-construct
spells,anomalous object,deepmx_anomalous-object
spells,armored heart,deepmx_armored-heart
spells,armored shell,deepmx_armored-shell
spells,banshee wail,deepmx_banshee-wail
spells,beguiling gift,deepmx_beguiling-gift
spells,borrowing,deepmx_borrowing
spells,call the hunter,deepmx_call-the-hunter
spells,circle of devestation,deepmx_circle-of-devestation
spells,cloying darkness,deepmx_cloying-darkness
spells,cosmic alignment,deepmx_cosmic-alignment
spells,cruor of visions,deepmx_cruor-of-visions
spells,extract foyson,deepmx_extract-foyson
spells,find the flaw,deepmx_find-the-flaw
spells,gear shield,deepmx_gear-shield
spells,gift of azathoth,deepmx_gift-of-azathoth
spells,greater ley pulse,deepmx_greater-ley-pulse
spells,gremlins,deepmx_gremlins
spells,grinding gears,deepmx_grinding-gears
spells,hearth charm,deepmx_hearth-charm
spells,hellforging,deepmx_hellforging
spells,hod's gift,deepmx_hods-gift
spells,imbue spell,deepmx_imbue-spell
spells,jotun's jest,deepmx_jotuns-jest
spells,land bond,deepmx_land-bond
spells,lesser ley pulse,deepmx_lesser-ley-pulse
spells,ley disruption,deepmx_ley-disruption
spells,ley energy bolt,deepmx_ley-energy-bolt
spells,ley leech,deepmx_ley-leech
spells,ley sense,deepmx_ley-sense
spells,ley storm,deepmx_ley-storm
spells,ley surge,deepmx_ley-surge
spells,ley whip,deepmx_ley-whip
spells,loki's gift,deepmx_lokis-gift
spells,machine sacrifice,deepmx_machine-sacrifice
spells,machine speech,deepmx_machine-speech
spells,machine's load,deepmx_machines-load
spells,mass blade ward,deepmx_mass-blade-ward
spells,mass repair metal,deepmx_mass-repair-metal
spells,mechanical union,deepmx_mechanical-union
spells,molech's blessing,deepmx_molechs-blessing
spells,move the cosmic wheel,deepmx_move-the-cosmic-wheel
spells,overclock,deepmx_overclock
spells,power word restore,deepmx_power-word-restore
spells,read memory,deepmx_read-memory
spells,repair metal,deepmx_repair-metal
spells,risen road,deepmx_risen-road
spells,robe of shards,deepmx_robe-of-shards
spells,shadow realm gateway,deepmx_shadow-realm-gateway
spells,shield of star and shadow,deepmx_shield-of-star-and-shadow
spells,snowblind stare,deepmx_snowblind-stare
spells,soothsayer's shield,deepmx_soothsayers-shield
spells,soul of the machine,deepmx_soul-of-the-machine
spells,sphere of order,deepmx_sphere-of-order
spells,spire of stone,deepmx_spire-of-stone
spells,strength of the underworld,deepmx_strength-of-the-underworld
spells,summon old one's avatar,deepmx_summon-old-ones-avatar
spells,tick stop,deepmx_tick-stop
spells,timeless engine,deepmx_timeless-engine
spells,winding key,deepmx_winding-key
spells,wotan's rede,deepmx_wotans-rede
spells,write memory,deepmx_write-memory
spells,ambush,kp_ambush
spells,blood strike,kp_blood-strike
spells,conjure manabane swarm,kp_conjure-manabane-swarm
spells,curse of formlessness,kp_curse-of-formlessness
spells,delay passing,kp_delay-passing
spells,doom of ancient decrepitude,kp_doom-of-ancient-decrepitude
spells,doom of voracity,kp_doom-of-voracity
spells,feed the worms,kp_feed-the-worms
spells,greater ley protection,kp_greater-ley-protection
spells,hirvsth's call,kp_hirvsths-call
spells,incantation of lies made truth,kp_incantation-of-lies-made-truth
spells,jeweled fissure,kp_jeweled-fissure
spells,lesser ley protection,kp_lesser-ley-protection
spells,ley disturbance,kp_ley-disturbance
spells,locate red portal,kp_locate-red-portal
spells,moon's respite,kp_moons-respite
spells,morphic flux,kp_morphic-flux
spells,open red portal,kp_open-red-portal
spells,perun's doom,kp_peruns-doom
spells,reset red portal,kp_reset-red-portal
spells,sanguine spear,kp_sanguine-spear
